iter	Passed	Remaining
347	8227	15414
348	8251	15391
349	8273	15365
350	8298	15344
351	8319	15315
352	8340	15286
353	8360	15256
354	8383	15231
355	8403	15202
356	8424	15174
357	8445	15145
358	8469	15123
359	8493	15099
360	8518	15077
361	8541	15053
362	8574	15047
363	8596	15020
364	8616	14990
365	8634	14957
366	8657	14932
367	8685	14916
368	8711	14897
369	8737	14877
370	8762	14856
371	8791	14841
372	8817	14821
373	8841	14798
374	8862	14770
375	8883	14742
376	8909	14723
377	8948	14725
378	8978	14712
379	9018	14714
380	9045	14695
381	9080	14691
382	9111	14678
383	9142	14666
384	9179	14662
385	9207	14646
386	9231	14623
387	9256	14600
388	9282	14580
389	9309	14560
390	9334	14538
391	9358	14514
392	9381	14490
393	9416	14483
394	9437	14454
395	9460	14429
396	9485	14407
397	9514	14391
398	9538	14367
399	9564	14347
400	9591	14327
401	9615	14303
402	9634	14272
